uid,clust_no,collar_id,datetime,lon,lat
1,1,20428,2019-05-26 13:00,-96.5869,49.18597
1,1,20428,2019-05-26 13:30,-96.58675,49.1859
1,1,20428,2019-05-26 14:00,-96.58671,49.18681
1,1,20428,2019-05-26 14:30,-96.58788,49.1873
1,1,20428,2019-05-26 15:00,-96.58819,49.18739
1,1,20428,2019-05-26 15:30,-96.58815,49.18742
1,1,20428,2019-05-26 16:00,-96.58822,49.18735
1,1,20428,2019-05-26 16:30,-96.58811,49.18735
1,1,20428,2019-05-26 17:00,-96.58756,49.1869
2,1,20428,2019-05-26 13:30,-96.58675,49.1859
2,1,20428,2019-05-26 14:00,-96.58671,49.18681
2,1,20428,2019-05-26 14:30,-96.58788,49.1873
2,1,20428,2019-05-26 15:00,-96.58819,49.18739
2,1,20428,2019-05-26 15:30,-96.58815,49.18742
2,1,20428,2019-05-26 16:00,-96.58822,49.18735
2,1,20428,2019-05-26 16:30,-96.58811,49.18735
2,1,20428,2019-05-26 17:00,-96.58756,49.1869
2,1,20428,2019-05-26 17:30,-96.5881,49.18689
3,1,20428,2019-05-26 14:30,-96.58788,49.1873
3,1,20428,2019-05-26 15:00,-96.58819,49.18739
3,1,20428,2019-05-26 15:30,-96.58815,49.18742
3,1,20428,2019-05-26 16:00,-96.58822,49.18735
3,1,20428,2019-05-26 16:30,-96.58811,49.18735
3,1,20428,2019-05-26 17:00,-96.58756,49.1869
3,1,20428,2019-05-26 17:30,-96.5881,49.18689
3,1,20428,2019-05-26 18:00,-96.58828,49.18723
3,1,20428,2019-05-26 18:30,-96.58824,49.1871
4,2,20428,2019-06-23 15:30,-96.61065,49.17968
4,2,20428,2019-06-23 16:00,-96.61041,49.18018
4,2,20428,2019-06-23 16:30,-96.61143,49.18065
4,2,20428,2019-06-23 17:00,-96.61143,49.18066
4,2,20428,2019-06-23 17:30,-96.61146,49.18067
4,2,20428,2019-06-23 18:00,-96.61181,49.18078
4,2,20428,2019-06-23 18:30,-96.61177,49.18054
4,2,20428,2019-06-23 19:00,-96.61178,49.18009
4,2,20428,2019-06-23 19:30,-96.61205,49.17987
5,2,20428,2019-06-23 15:00,-96.61067,49.17966
5,2,20428,2019-06-23 15:30,-96.61065,49.17968
5,2,20428,2019-06-23 16:00,-96.61041,49.18018
5,2,20428,2019-06-23 16:30,-96.61143,49.18065
5,2,20428,2019-06-23 17:00,-96.61143,49.18066
5,2,20428,2019-06-23 17:30,-96.61146,49.18067
5,2,20428,2019-06-23 18:00,-96.61181,49.18078
5,2,20428,2019-06-23 18:30,-96.61177,49.18054
5,2,20428,2019-06-23 19:00,-96.61178,49.18009
6,2,20428,2019-06-23 14:30,-96.61081,49.17968
6,2,20428,2019-06-23 15:00,-96.61067,49.17966
6,2,20428,2019-06-23 15:30,-96.61065,49.17968
6,2,20428,2019-06-23 16:00,-96.61041,49.18018
6,2,20428,2019-06-23 16:30,-96.61143,49.18065
6,2,20428,2019-06-23 17:00,-96.61143,49.18066
6,2,20428,2019-06-23 17:30,-96.61146,49.18067
6,2,20428,2019-06-23 18:00,-96.61181,49.18078
6,2,20428,2019-06-23 18:30,-96.61177,49.18054
7,3,20428,2019-05-31 9:00,-96.6094,49.14064
7,3,20428,2019-05-31 9:30,-96.60938,49.14063
7,3,20428,2019-05-31 10:00,-96.6095,49.14062
7,3,20428,2019-05-31 10:30,-96.60995,49.14299
7,3,20428,2019-05-31 11:00,-96.61001,49.14302
7,3,20428,2019-05-31 11:30,-96.61179,49.14218
7,3,20428,2019-05-31 12:00,-96.61178,49.14217
7,3,20428,2019-05-31 12:30,-96.61183,49.14219
7,3,20428,2019-05-31 13:00,-96.61203,49.14209
8,3,20428,2019-05-31 10:30,-96.60995,49.14299
8,3,20428,2019-05-31 11:00,-96.61001,49.14302
8,3,20428,2019-05-31 11:30,-96.61179,49.14218
8,3,20428,2019-05-31 12:00,-96.61178,49.14217
8,3,20428,2019-05-31 12:30,-96.61183,49.14219
8,3,20428,2019-05-31 13:00,-96.61203,49.14209
8,3,20428,2019-05-31 13:31,-96.61426,49.14241
8,3,20428,2019-05-31 14:00,-96.617,49.1428
8,3,20428,2019-05-31 14:30,-96.61697,49.1428
9,3,20428,2019-05-31 9:30,-96.60938,49.14063
9,3,20428,2019-05-31 10:00,-96.6095,49.14062
9,3,20428,2019-05-31 10:30,-96.60995,49.14299
9,3,20428,2019-05-31 11:00,-96.61001,49.14302
9,3,20428,2019-05-31 11:30,-96.61179,49.14218
9,3,20428,2019-05-31 12:00,-96.61178,49.14217
9,3,20428,2019-05-31 12:30,-96.61183,49.14219
9,3,20428,2019-05-31 13:00,-96.61203,49.14209
9,3,20428,2019-05-31 13:31,-96.61426,49.14241
10,4,20428,2019-06-08 10:30,-96.64834,49.16326
10,4,20428,2019-06-08 11:00,-96.64853,49.16325
10,4,20428,2019-06-08 11:30,-96.64831,49.16323
10,4,20428,2019-06-08 12:00,-96.64826,49.16312
10,4,20428,2019-06-08 12:30,-96.64939,49.16314
10,4,20428,2019-06-08 13:00,-96.64935,49.16323
10,4,20428,2019-06-08 13:30,-96.64996,49.16267
10,4,20428,2019-06-08 14:00,-96.65001,49.16267
10,4,20428,2019-06-08 14:30,-96.64995,49.16263
11,4,20428,2019-06-08 19:00,-96.64981,49.16317
11,4,20428,2019-06-08 19:30,-96.64987,49.16317
11,4,20428,2019-06-08 20:00,-96.64991,49.16324
11,4,20428,2019-06-08 20:30,-96.64978,49.16312
11,4,20428,2019-06-08 21:00,-96.64939,49.16309
